; China eventmsg.txt																	   
;REASON PHRASES FOR AUTOMATICALLY TRIGGERED EVENTS

	;Provocation (HIGH BENEVOLENCE/HOSTILITY)
PHRASE_really_benevolent		"因为 [leader_name] 确实对您感到非常满意"
PHRASE_benevolent			"因为 [leader_name] 对您感到比较满意"
PHRASE_hostile				"因为 [leader_name] 被您弄得心烦意乱"
PHRASE_really_hostile			"因为 [leader_name] 真的非常愤怒"
		
 	;Opportunity
PHRASE_weakness				"因为 [leader_name] 觉得您很软弱"
PHRASE_out_of_money 			"因为您需要现金"
 
 	;Response
PHRASE_request_response			"为了回应您要求的 [request_type]"
 
 	;Combat results/results of player actions
PHRASE_player_attacked			"由于您被 [city_name] 攻击"

;&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&  *********** TEXT FOR EVENTS *******   &&&&&&&&&&&&&&&&&&&&&&&&&&


;***************************************************REQUESTS*****************************************


; TONES INDICATED ARE:
; _S = Standard
; _D = Demand
; _P = Plea

;**************************************FOOD, GOODS & MONEY REQUESTS**********************************

;******Famine Relief*********************************************************
PHRASE_famine_relief_relief_title_S 				"[city_name] 发生饥荒"
PHRASE_famine_relief_relief_spy_report_S				"您好, 最高贵的 [player_name]. 密探报告说您的同盟城市 [city_name], 缺少食物. 他们的领导者 [leader_name] 希望您能帮助他们度过饥荒. 如果您能送给他们 [amount] 份食物, 就能阻止这场灾难, 而 [leader_name] 无疑会向其它盟友说您的好话."
PHRASE_famine_relief_relief_initial_announcement_S		"我的粮仓几乎都空了 [player_name], 我, [city_name] 的 [leader_name], 现在就只能寄希望于您的帮助了. 我的城市发生了一场饥荒, 我的人民都在挨饿. 我没有办法自己弄到粮食 来喂饱我的人民, 真不知道我的人民长时间吃不到东西 最终会发生什么事情. 请您在 [time_allotted] 个月内送给我的城市 [amount] 份食物, 否则事情就会变得更糟!"
PHRASE_famine_relief_relief_reminder_S 				"我, [city_name] 的 [leader_name] 请求您, [player_name], 我恳求您帮助您的同胞. 我的人民万分迫切地需要我向您要求的 [amount] 份食物. 时间紧迫. 如果您不能在六个月内把食物送来, 那只有我们的祖先才知道会发生什么事."
PHRASE_famine_relief_relief_overdue_S 				"[player_name], 我真不敢相信, 您竟然不理睬我的要求! 不过很幸运, 虽然没有您的帮助, 但是我们还是通过祭祀祖先 设法渡过了这次饥荒, 只是 [city_name] 的所有人民都感到很悲哀. 如果您迅速送 [amount] 份食物来补充我们的粮仓, 或许我会原谅您的疏忽 ...只此一次!"
PHRASE_famine_relief_relief_warning_S 				"[player_name]! 如果您不能在六个月内送给我们的城市 [city_name] [amount] 份食物, 那我就不再麻烦您了. 您让我们的友谊蒙羞!"
PHRASE_famine_relief_relief_early_reason_S	  		"由于您提前送来 [amount] 份食物帮助我们渡过了饥荒,"
PHRASE_famine_relief_relief_comply_reason_S  			"由于您给我的人民送来了他们的需要食物,"
PHRASE_famine_relief_relief_too_late_reason_S 	 		"由于您非常晚才送来我们需要的 [amount] 份食物,"
PHRASE_famine_relief_relief_refuse_reason_S	 		"由于您没有把 [amount] 份食物送给我的人民,"
PHRASE_famine_relief_relief_no_reason_S				""

PHRASE_famine_relief_relief_title_D 				"[city_name] 发生饥荒"
PHRASE_famine_relief_relief_spy_report_D				"最值得尊敬的 [player_name], 密探报告说您的对手 [city_name] 和它的领导者 [leader_name] 遭遇了不幸. 他们那里发生了饥荒, 人民变得虚弱, 令人同情. 如果您在一年内送去 [amount] 份食物, 就能帮他们渡过这次天灾, 或许还能得到 [leader_name] 的尊重."
PHRASE_famine_relief_relief_initial_announcement_D		"听着, [player_name]. 我, [city_name] 的 [leader_name], 遇到了麻烦, 而您可以帮助我. 我的城市发生了饥荒, 因此我要求您在 [time_allotted] 个月内送来 [amount] 份食物, 这样我的人民就不会挨饿了."
PHRASE_famine_relief_relief_reminder_D 				"怎么回事? [player_name]? 您没有注意我第一次的要求吗? 我, [city_name] 的 [leader_name] 要您送来的 [amount] 份食物在哪儿? 如果您明白怎么做对自己是最好的, 那就在六个月以内送来 [amount] 份食物."
PHRASE_famine_relief_relief_overdue_D 				"真是太不明智了, [player_name]! 您应该知道 忽视我不会有好结果的. 尽管我的城市 [city_name] 已经渡过了饥荒, 我的人民也不再吃不上东西, 但我提过的要求不会轻易改变. 快点把我要求的 [amount] 份食物送来, 那样或许我会原谅您的怠慢无礼."
PHRASE_famine_relief_relief_warning_D 				"好吧, [player_name]. 看来您是想让我这个 [city_name] 的领导者愤怒. 我再给您六个月的时间. 如果那时您还未送来 [amount] 份食物, 我就要做些让您后悔万分的事了."
PHRASE_famine_relief_relief_early_reason_D	  		"由于您提前预见到了我们的需要, 送来了 [amount] 份食物,"
PHRASE_famine_relief_relief_comply_reason_D  			"由于您按时送来了 [amount] 份食物,"
PHRASE_famine_relief_relief_too_late_reason_D 	 		"由于您送来 [amount] 份食物的行动太慢了,"
PHRASE_famine_relief_relief_refuse_reason_D	 		"由于您拒绝送来 [amount] 份食物,"
PHRASE_famine_relief_relief_no_reason_D				""

PHRASE_famine_relief_relief_title_P 				"[city_name] 发生饥荒"
PHRASE_famine_relief_relief_spy_report_P				"您好, [player_name]. 密探报告说您的诸候城市 [city_name] 和它的领导者 [leader_name] 遇到了麻烦. 他们的生活很艰苦, 就要发生的饥荒了. 如果您能在一年时间内送去 [amount] 份食物, [leader_name] 和他的城市 [city_name] 就会得救."
PHRASE_famine_relief_relief_initial_announcement_P		"最令人敬畏的 [player_name], 我, [city_name] 的 [leader_name], 您谦恭的仆人, 迫切需要您的帮助. 我的城市发生了一场大规模的饥荒. 我的人民正在忍饥挨饿. 恳请您, 最尊贵的主人, 在 [time_allotted] 个月内给我们送来 [amount] 份食物. 您是我们唯一的希望!"
PHRASE_famine_relief_relief_reminder_P 				"请帮助我, [player_name]! 听着人民饥饿的哀泣, 我的心都碎了! 我, [city_name] 的 [leader_name] 恳求您在六个月内送来 [amount] 份食物!"
PHRASE_famine_relief_relief_overdue_P 				"为什么您弃我们不顾, [player_name]? 我的人民有很多都饿死了! 而我的城市 [city_name] 再也不象以前那样繁华了. 我们还需要更多的食物, 所以如果您还有良心, 那就快点送来 [amount] 份食物, 您的好心会得到好报的."
PHRASE_famine_relief_relief_warning_P 				"我们到底做错过什么, 让您如此残忍地对待我们, [player_name]? 我, [leader_name], 一直都忠心地为您服务, 可是现在您却虐待我和我的城市 [city_name]. 如果您在以后的六个月内送来 [amount] 份食物, 我或许会尽力去理解, 您是因为公务繁忙压力太大, 才忽视了我的要求."
PHRASE_famine_relief_relief_early_reason_P	  		"由于您神奇地预知到我们的需要, 提前送来了 [amount] 份食物,"
PHRASE_famine_relief_relief_comply_reason_P  			"由于您仁慈地给我的人民送来了需要的 [amount] 份食物,"
PHRASE_famine_relief_relief_too_late_reason_P 	 		"由于您送出我所需要的 [amount] 份食物的时间太晚了,"
PHRASE_famine_relief_relief_refuse_reason_P	 		"由于您无情的拒绝了我的恳求, 没有送来 [amount] 份食物,"
PHRASE_famine_relief_relief_no_reason_P				""

PHRASE_CONDENSED_famine_relief_relief_title_S 				"N/A"
PHRASE_CONDENSED_famine_relief_relief_spy_report_S			"密探报告 [city_name] 将要发生饥荒. 提前送去 [amount] 份食物 对我们是有利的."
PHRASE_CONDENSED_famine_relief_relief_initial_announcement_S	"[city_name] 发生饥荒. 在 [time_allotted] 个月内送去 [amount] 份食物 对我们是有利的."
PHRASE_CONDENSED_famine_relief_relief_reminder_S 			"在六个月内给 [city_name] 送去 [amount] 份食物 对我们是有利的."
PHRASE_CONDENSED_famine_relief_relief_overdue_S 			"超过最终期限了! 不过, 晚送去 [amount] 份食物总比根本不送要强."
PHRASE_CONDENSED_famine_relief_relief_warning_S 			"还有六个月的时间给 [city_name] 准备渡过饥荒的食物."
PHRASE_CONDENSED_famine_relief_relief_early_reason_S	  		"由于您提前给 [city_name] 送去了食物, "
PHRASE_CONDENSED_famine_relief_relief_comply_reason_S  		"由于您及时给 [city_name] 送去了食物, "
PHRASE_CONDENSED_famine_relief_relief_too_late_reason_S 	 	"由于您给 [city_name] 送去食物的时间拖得太长, "
PHRASE_CONDENSED_famine_relief_relief_refuse_reason_S	 		"由于您拒绝给 [city_name] 送去食物, "
PHRASE_CONDENSED_famine_relief_relief_no_reason_S			""

PHRASE_CONDENSED_famine_relief_relief_title_D 				"N/A"
PHRASE_CONDENSED_famine_relief_relief_spy_report_D			"密探报告说 [city_name] 将要发生饥荒. 提前送去 [amount] 份食物 对我们是有利的."
PHRASE_CONDENSED_famine_relief_relief_initial_announcement_D	"[city_name] 要求您在 [time_allotted] 个月内送去 [amount] 份食物 帮他们渡过饥荒."
PHRASE_CONDENSED_famine_relief_relief_reminder_D 			"[city_name] 正在等待您的援助. 您还有六个月的时间准备食物."
PHRASE_CONDENSED_famine_relief_relief_overdue_D 			"超过最终期限了! 最好在两年内 送去饥荒食物援助, 避免 [city_name] 人怒火焚心."
PHRASE_CONDENSED_famine_relief_relief_warning_D 			"还有六个月的时间给 [city_name] 准备渡过饥荒的食物."
PHRASE_CONDENSED_famine_relief_relief_early_reason_D	  		"由于您提前预见了 [city_name] 对食物援助的需要"
PHRASE_CONDENSED_famine_relief_relief_comply_reason_D  		"由于您满足了 [city_name] 发生饥荒时要求的食物援助"
PHRASE_CONDENSED_famine_relief_relief_too_late_reason_D 	 	"由于您给发生饥荒的 [city_name] 送去食物救济的时间晚了"
PHRASE_CONDENSED_famine_relief_relief_refuse_reason_D	 		"由于您没有给发生饥荒的 [city_name] 送去食物救济"
PHRASE_CONDENSED_famine_relief_relief_no_reason_D			""

PHRASE_CONDENSED_famine_relief_relief_title_P 				"N/A"
PHRASE_CONDENSED_famine_relief_relief_spy_report_P			"密探报告说 [city_name] 将要发生饥荒.  提前送去 [amount] 份食物 对我们是有利的."
PHRASE_CONDENSED_famine_relief_relief_initial_announcement_P	"[city_name] 请求您在 [time_allotted] 个月内送去 [amount] 份食物帮他们渡过饥荒."
